customer_id;first_name;last_name;address;postcode;city;country;date_of_birth
27;Tina;Sloan;"USNS Case
FPO AA 17888";97894;Bartonfort;Algeria;30-10-1970
28;Donald;Harris;"01746 Ashley Drive
Johnborough, WV 07130";48701;East David;Russian Federation;08-12-1983
29;Kelly;Garcia;"43625 David Walk
East Rodney, IL 70866";46820;Willieville;Grenada;26-03-1990
30;Rachel;Reynolds;"PSC 7753, Box 2390
APO AP 69231";78488;South Randall;Niue;12-02-1967
31;Billy;Howard;"89194 Vazquez Alley
Frankbury, SD 58075";35121;Port Rodney;Philippines;10-09-2000
32;Dustin;Smith;"85760 Natasha Glen
Michaelland, CA 94988";97274;Westtown;Costa Rica;19-07-1955
33;Henry;Henry;"PSC 7210, Box 5035
APO AA 19527";26863;North Jennifer;Jamaica;13-11-1995
34;Jeremy;Johnson;"099 Marshall Valley
South Holly, CO 99745";38305;North Keith;Dominican Republic;27-05-1978
35;Jim;Campbell;"938 Garza Ferry
Jacksonfurt, MS 35183";17015;Evansbury;Central African Republic;07-05-1987
36;Karen;Friedman;"24059 Jessica Drive
South Alexandria, MN 40783";24015;Brendaburgh;Gambia;06-07-1959
37;John;Ramirez;"4461 Samantha Estates Apt. 020
Lake Jasonberg, NY 91656";70246;Petersburgh;Norway;15-08-1985
38;Jane;Boyle;"425 Hernandez Land Apt. 135
Matthewfurt, WV 58897";30380;Mariostad;Canada;16-09-1996
39;Susan;Jones;"4748 Jaime Streets Apt. 267
Sarahview, NE 76471";82302;New Yolanda;Singapore;18-11-1986
40;Calvin;Marshall;"674 Simmons Island Apt. 905
Williamburgh, SD 86485";91320;Lake Davidmouth;Luxembourg;11-08-1959
41;Michael;Martin;"60696 Patty Crescent
New Rhondamouth, AL 49451";54862;Feliciafort;Tanzania;20-04-1966
42;Robert;Wilkins;"57826 Moore Camp
Carolynshire, LA 06972";59289;Millerton;Lao People's Democratic Republic;28-02-1963
43;Amanda;Simpson;"16012 Schmidt Parkway
North Lauramouth, SC 90158";91514;Jordanfurt;Costa Rica;20-10-1966
44;Jennifer;Mills;"PSC 6519, Box 8079
APO AE 13565";84482;Lake Elizabethborough;Saint Kitts and Nevis;04-10-1979
45;Christine;Taylor;"8732 Jones Street
Alvaradotown, DE 18677";39940;Lisamouth;Slovenia;06-12-1997
46;Rebecca;Jarvis;"305 Scott Forks
Welchchester, IN 53210";65186;Robertsfurt;Slovakia (Slovak Republic);27-11-1997
47;Caroline;Ayala;"61797 Miller Highway Suite 927
Brianview, WA 08024";13546;Gailburgh;Egypt;01-10-1974
48;Michael;Middleton;"2460 Whitaker Harbor Suite 158
Nancyside, WY 57706";63431;Brandonfurt;Latvia;29-06-1974
49;Ashley;Henson;"9471 Nathan Overpass
West Karenport, AK 37889";34839;Ianfurt;United Arab Emirates;21-01-1957
50;Karen;Thompson;"02945 Anderson Square Apt. 873
Craigshire, MD 80992";33325;West Robert;Japan;07-09-1982
